Name,Genre,Developer,Rating
Grand Theft Auto IV,Accion,Rockstar Games,M
The Elder Scrolls IV: Oblivion,RPG,Bethesda,M
Tony Hawk's Pro Skater 2,Deportes,Activision,T
Red Dead Redemption,Accion,A Rockstar Games,M
The Legend of Zelda: Twilight Princess,Aventura,Nintendo,T
Halo 3,Shooter,Bungie,M
Super Mario Odyssey,Plataformas,Nintendo,E
God of War,Accion,Aventura,Santa Monica Studio,M
Minecraft,Sandbox,Mojang,E10+
Call of Duty: Modern Warfare,Shooter,Infinity Ward,M
FIFA 23,Deportes,EA Sports,E
Resident Evil 4,Survival Horror,Capcom,M
Assassin's Creed II,Accion,Aventura,Ubisoft,M
Pokémon Scarlet,RPG,Nintendo,E
The Witcher 3: Wild Hunt,RPG,CD Projekt Red,M

